Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
8067052386,"Nov 4, 2022, 1:19:14 PM",Morning Run,Run,,992,2.58,,,false,Don’t go out the night before,,activities/8067052386.gpx,,,992.0,726.0,2585.9,6.936,3.562,7.9,5.6,259.5,265.0,4.3,0.1,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,31.0,0.0,,1.0,2601.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.607,1118.0,,,,,,,,,,,,,,,,,,,media/51183F1E-213F-4C54-BF50-7596DD83ED04.jpg
8079826571,"Nov 6, 2022, 9:30:40 PM",post push day,Run,,2008,4.41,,,false,,,activities/8079826571.gpx,,,2008.0,1220.0,4416.5,8.602,3.62,38.7,38.5,261.4,282.1,34.3,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,38.0,0.0,,1.0,4517.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.199,0.0,,,,,,,,,,,,,,,,,,,media/6778D255-62A5-4655-8FDA-38BD4E35047B.jpg
8195440479,"Dec 1, 2022, 10:03:31 PM",Afternoon Run,Run,"post workout, first actual run after upper respiratory infection

we’re back on half marathon track",1807,4.17,,,false,,,activities/8195440479.gpx,,,1807.0,1706.0,4175.2,7.138,2.447,31.9,31.9,260.3,281.4,41.8,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,18.0,0.0,,1.0,4250.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.311,0.0,,,,,,,,,,,,,,,,,,,""
8212474916,"Dec 5, 2022, 11:03:17 PM",Afternoon Run,Run,powered by dua lipa,1534,3.30,,,false,,,activities/8212474916.gpx,,,1534.0,997.0,3303.6,8.014,3.314,42.6,43.4,261.4,289.6,22.7,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,18.0,0.0,,1.0,3397.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.154,0.0,,,,,,,,,,,,,,,,,,,""
8219287088,"Dec 7, 2022, 2:08:58 PM",Morning Run,Run,almost slipped and died so i stopped and now i’m rowing,418,1.01,,,false,,,activities/8219287088.gpx,,,418.0,315.0,1018.4,5.657,3.233,0.0,-1.2,260.9,263.4,9.2,0.1,,,,,,,,,,,,,,,,,,3.0,,,,,0.0,2.0,0.0,,1.0,1023.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.436,0.0,,,,,,,,,,,,,,,,,,,""
8238004832,"Dec 11, 2022, 11:22:57 PM",Afternoon Run,Run,did not slip and die,1373,2.89,,,false,,,activities/8238004832.gpx,,,1373.0,821.0,2895.4,7.202,3.527,41.1,40.8,261.4,289.0,37.2,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,9.0,0.0,,1.0,3027.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.109,0.0,,,,,,,,,,,,,,,,,,,""
8241564498,"Dec 12, 2022, 10:49:16 PM",Afternoon Run,Run,smoking that 225 bench pack,1719,3.47,,,false,,,activities/8241564498.gpx,,,1719.0,968.0,3474.1,5.668,3.589,35.8,35.8,260.8,286.6,44.8,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,17.0,0.0,,1.0,3576.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.021,0.0,,,,,,,,,,,,,,,,,,,""
8249538619,"Dec 14, 2022, 11:40:38 PM",Afternoon Run,Run,i slipped and died,157,0.54,,,false,,,activities/8249538619.gpx,,,157.0,139.0,543.3,5.364,3.909,3.3,0.7,261.4,264.9,9.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,555.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.461,0.0,,,,,,,,,,,,,,,,,,,""
8376758305,"Jan 11, 2023, 8:47:04 PM",Afternoon Run,Run,"first run back in andover
to summarize. i forgot my brooks so i’m wearing tennis shoes",522,1.25,,,false,,,activities/8376758305.gpx,,,522.0,420.0,1251.2,4.906,2.979,18.9,20.9,35.2,58.6,10.3,-0.2,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,18.0,0.0,,1.0,1280.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.397,159.0,,,,,,,,,,,,,,,,,,,""
8385638816,"Jan 13, 2023, 3:45:32 PM",Lunch Run,Run,"cool down 
don’t run after leg day",1263,2.24,,,false,,,activities/8385638816.gpx,,,1263.0,686.0,2239.8,7.556,3.265,29.3,36.5,27.4,50.9,24.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2302.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.773,0.0,,,,,,,,,,,,,,,,,,,""
