Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
12983969508,"Nov 23, 2024, 11:39:01 PM",Afternoon Run,Run,"",1627,4.72,196.0,90,false,,Brooks Trace 3,activities/13845620911.fit.gz,,,1627.0,1495.0,4719.1,9.053,3.157,14.6,14.6,259.4,268.0,7.6,0.0,,,,,196.0,179.0,,245.0,329.0,,,90.0,,,,,,,,,236.0,1629.0,0.0,,0.0,,1.0,4894.0,,,,,,,,,,,,,,,,22257076.0,,,,,,,,,,0.0,2.9,124.2,,,,3932.0,,,142.0,177.0,3.274,,,,,,,,,,""
12983969543,"Nov 26, 2024, 12:32:47 AM",Evening Run,Run,Easy short run,1260,3.29,171.0,43,false,,Brooks Trace 3,activities/13845620774.fit.gz,,,1260.0,1257.0,3295.1,3.74,2.621,30.8,30.8,256.2,268.0,44.1,0.0,,,,,171.0,161.0,,202.0,213.0,,,43.0,,,,,,,,,202.0,1261.0,0.0,,0.0,,1.0,3362.1,,,,,,,,,,,,,,,,22257076.0,,,,,,,,,,0.0,2.615,2019.2,,,,3380.0,,,80.0,152.0,2.675,,,,,,,,,,""
12983969618,"Nov 16, 2024, 3:28:09 PM",Morning Run,Run,"",1079,3.27,193.0,52,false,,Brooks Trace 3,activities/13845621024.fit.gz,,,1079.0,1074.0,3278.9,3.86,3.053,19.6,19.6,261.0,268.0,5.9,0.0,,,,,193.0,173.0,,234.0,223.0,,,52.0,,,,,,,,,233.0,1080.0,0.0,,0.0,,1.0,3305.6,,,,,,,,,,,,,,,,22257076.0,,,,,,,,,,0.0,3.039,2016.5,,,,2766.0,,,91.0,175.0,3.078,,,,,,,,,,""
13073911450,"Dec 8, 2024, 4:05:47 PM",Morning Run,Run,"",3332,7.66,187.0,162,false,,Brooks Trace 3,activities/13941874044.fit.gz,,,3332.0,3328.0,7662.5,3.62,2.302,78.0,78.0,258.2,283.2,14.5,0.0,,,,,187.0,170.0,,179.0,641.0,,,162.0,,,,,,,,,184.0,3332.0,0.0,,0.0,,1.0,7790.1,,,,,,,,,,,,,,,,22257076.0,,,,,,,,,,0.0,2.3,845.9,,,,8054.0,,,176.0,138.0,2.341,,,,,,,,,,""
13079591672,"Dec 9, 2024, 3:30:40 PM",Morning run,Run,4x1k with 1k recovery,2757,6.55,183.0,98,false,,Brooks Trace 3,activities/13947956202.fit.gz,,,2757.0,2637.0,6556.9,5.22,2.487,20.2,22.2,257.6,263.6,16.0,0.0,,,,,183.0,166.0,,210.0,422.0,,,98.0,,,,,,,,,215.0,2758.0,0.0,,0.0,,1.0,6758.2,,,,,,,,,,,,,,,,22257076.0,,,,,,,,,,0.0,2.378,0.0,,,,5982.0,,,200.0,162.0,2.563,,,,,,,,,,""
13128327329,"Dec 16, 2024, 3:32:02 PM",Pre exam run,Run,"",2348,6.64,190.0,142,false,,Brooks Trace 3,activities/14000188318.fit.gz,,,2348.0,2271.0,6642.3,5.34,2.925,30.4,30.4,259.0,282.6,11.1,0.0,,,,,190.0,178.0,,229.0,477.0,,,142.0,,,,,,,,,227.0,2322.0,0.0,,0.0,,1.0,6749.7,,,,,,,,,,,,,,,,22257076.0,,,,,,,,,,0.0,2.829,463.1,,,,5696.0,,,188.0,171.0,2.972,,,,,,,,,,media/566F39E6-9D59-4F97-93B9-C02B3C1976B2.jpg
13170540233,"Dec 22, 2024, 7:15:31 PM",Chilly winds,Run,"",2074,5.82,179.0,86,false,,Brooks Trace 3,activities/14045465311.fit.gz,,,2074.0,2053.0,5828.9,6.08,2.839,35.0,37.2,283.6,305.2,9.9,0.0,,,,,179.0,165.0,,220.0,414.0,,,86.0,,,,,,,,,218.0,2076.0,0.0,,0.0,,1.0,5881.3,1734893952.0,2.0,-1.0,-6.3,-4.3,0.78,1017.0,5.4,9.5,156.0,0.0,1734875264.0,1734906880.0,0.625,,22257076.0,0.0,1.0,0.44,24326.0,1.0,,,,,0.0,2.81,654.9,,,,5094.0,,,155.0,164.0,2.865,,,,,,,,,,""
13184832170,"Dec 24, 2024, 11:08:36 PM",Sunset hike,Hike,"",7537,5.75,142.0,15,false,,,activities/14060814957.fit.gz,,,7537.0,4746.0,5752.6,5.44,1.212,114.8,101.8,0.0,672.0,46.5,9.2,,,,,142.0,110.0,,,406.0,,,15.0,,,,,,,,,,,0.0,,0.0,,1.0,,1735081216.0,3.0,22.7,21.5,-0.1,0.22,1013.0,2.1,3.8,168.0,0.0,1735050624.0,1735086336.0,0.875,,,0.0,1.0,0.92,43291.0,1.0,,,,,0.0,0.763,5530.9,,,,6922.0,,,,,,,,,,,,,,,media/257BBE60-6201-452A-92DE-C55EB6A45DE9.jpg
13196189704,"Dec 26, 2024, 4:31:20 PM",Caves,Hike,Hiked up and explored caves with [strava://athletes/116146679/11]Raghav Kasi,13371,8.92,152.0,24,false,,,activities/14073070218.fit.gz,,,13371.0,7704.0,8922.8,4.864,1.158,257.0,146.4,0.0,1505.0,49.6,16.1,,,,,152.0,109.0,,,625.0,,,24.0,,,,,,,,,,,0.0,,0.0,,1.0,,1735228800.0,3.0,3.2,3.2,-3.6,0.61,1019.8,0.8,1.9,29.0,0.0,1735223552.0,1735259008.0,0.875,,,0.0,1.0,1.0,31464.6,0.0,,,,,0.0,0.667,5990.4,,,,11024.0,,,,,,,11024.0,,,,,,,,media/EDFBAB92-1F51-4998-941C-5F47316C54A5.jpg
13202652900,"Dec 27, 2024, 3:46:00 PM",Morning Hike,Hike,"",8718,3.03,159.0,22,false,,,activities/14080009301.fit.gz,,,8718.0,5633.0,3037.1,15.928,0.539,363.2,287.4,1233.0,1428.8,49.8,1.3,,,,,159.0,114.0,,,318.0,,,22.0,,,,,,,,,,,0.0,,0.0,,1.0,,1735311616.0,3.0,1.0,1.1,-5.0,0.64,1017.0,1.1,2.1,113.0,0.0,1735310080.0,1735345408.0,0.875,,,0.0,1.0,1.0,32458.4,0.0,,,,,2.0,0.348,4326.5,,,,3912.0,,,,,,,3912.0,,,,,,,,media/D690F019-FB42-42A3-80FD-3E29F4BECD71.jpg
